Constituency,Turnout
Carlow-Kilkenny,61.99
Cavan-Monaghan,63.39
Clare,64.37
Cork East,63.8
Cork North-Central,62.45
Cork North-West,65.93
Cork South-Central,66.73
Cork South-West,67.35
Donegal,57.06
Dublin Bay North,71.6
Dublin Bay South,54.94
Dublin Central,51.52
Dublin Fingal,70.39
Dublin Mid-West,67.3
Dublin North-West,62.76
Dublin Rathdown,70.11
Dublin South-Central,59.6
Dublin South-West,68.58
Dublin West,67.77
Dun Laoghaire,68.52
Galway East,63.47
Galway West,59.9
Kerry,62.41
Kildare North,63.76
Kildare South,61.34
Laois,62.01
Limerick City,62.01
Limerick,62.45
Longford-Westmeath,59.3
Louth,65.89
Mayo,62.09
Meath East,65.61
Meath West,62.94
Offaly,64.71
Roscommon-Galway,65.7
Sligo-Leitrim,61.08
Tipperary,63.84
Waterford,64.3
Wexford,66.27
Wicklow,74.48
